step,price,action,position,balance,portfolio_value
980,0.14217,7,20065.74362012277,10567.66591164738,13420.412682120234
982,0.1412,3,42518.29159104497,7397.366138153166,13400.948910808715
983,0.1368,7,29762.80411373148,9142.316825049651,13213.868427808118
985,0.13806,3,49628.768531483875,6399.621777534756,13251.36956099142
986,0.13884,4,68066.16921582486,3839.7730665208533,13290.080000445976
987,0.14001,5,61259.55229424238,4792.767501711617,13369.717418428492
992,0.14283,7,42881.68660596966,7417.678057967609,13542.469355898256
993,0.14397,7,30017.180624178764,9269.780984166044,13591.354478629059
994,0.14347,8,18010.308374507258,10992.406945826415,13576.345888316971
1004,0.13575,4,50400.45775447459,6595.444167495849,13437.306307665775
1005,0.13631,7,35280.32042813221,8656.470086449579,13465.53056400828
1006,0.13683,7,24696.22429969255,10104.691959703978,13483.876330630908
1021,0.12879,3,48233.82495122756,7073.284371792784,13285.31868726138
1022,0.1218,7,33763.67746585929,8835.74833551064,12948.164250852302
1024,0.12053,4,63086.662068898004,5301.449001306384,12905.28438047066
1025,0.1194,7,44160.6634482286,7561.2132366143105,12833.996452332805
1040,0.12392,7,30912.464413760023,9202.930060965657,13033.6026511188
1041,0.1235,7,21638.72508963202,10348.236867495465,13020.61941606502
1046,0.12427,7,15147.107562742414,11154.950177562036,13037.281234384036
1047,0.12403,7,10602.975293919691,11718.558902864119,13033.645928568978
1061,0.11698,4,50673.27415821827,7031.135341718471,12958.894952746843
1062,0.11578,4,74964.63826849111,4218.681205031082,12898.087023756982
1063,0.11902,1,78509.15280809041,3796.813084527974,13140.972451746895
1082,0.12661,7,54956.40696566329,6778.826235637672,13736.856921560302
1098,0.12376,7,38469.48487596431,8819.247713458819,13580.231161708161
1112,0.12241,7,26928.639413175013,10231.962606558856,13528.29735712561
1117,0.11849,3,52834.52836555628,7162.373824591199,13422.737090625964
1118,0.11546,7,36984.1698558894,8992.456218117337,13262.648469678326
1123,0.10502,3,62672.00898591416,6294.719352682136,12876.53373638284
1126,0.09985,4,87888.71145033935,3776.831611609281,12552.519449925665
1127,0.10345,4,102492.21695680346,2266.0989669655683,12868.918811146887
1128,0.10429,5,92242.99526112311,3334.990297608071,12955.0122733906
1147,0.10758,7,64570.096682786185,6312.040726665558,13258.491727799696
1160,0.10739,7,45199.06767795033,8392.295531494881,13246.223409429967
1166,0.10616,7,31639.34737456523,9831.795438902243,13190.628556186088
1179,0.11356,4,66270.53948059637,5899.077263341345,13424.75972675787
1180,0.11282,4,87185.54484610372,3539.4463580048073,13375.71952754223
1181,0.11276,1,90324.4649933233,3185.5017222043266,13370.488394851462
1196,0.12552,7,63227.12549532631,6586.7597759929085,14523.028568166268
1203,0.12154,7,44258.987846728414,8892.147225803496,14271.384608694867
1208,0.12088,7,30981.29149270989,10497.155161077255,14242.173676716026
1214,0.12539,7,21686.904044896924,11662.578403158523,14381.899301348149
1215,0.12745,7,15180.832831427848,12491.777179315157,14426.574323680636
1220,0.13219,7,10626.582981999494,13093.803466911091,14498.531471301605
